Vardas              Pavarde             ND1       ND2       ND3       ND4       ND5       ND6       ND7       ND8       ND9       ND10      ND11      ND12      ND13      ND14      ND15      ND16      ND17      Egz.      
VardasNr47          PavardeNr47         2         3         5         9         6         3         9         5         3         5         9         3         7         4         10        4         10        2         
VardasNr48          PavardeNr48         10        1         8         5         3         2         6         2         10        10        3         9         3         6         7         7         8         8         
VardasNr49          PavardeNr49         6         2         5         4         2         8         7         7         8         9         4         7         5         10        3         4         10        6         
VardasNr50          PavardeNr50         6         3         1         2         6         5         10        5         2         6         9         9         8         3         8         1         6         3         
VardasNr51          PavardeNr51         8         8         3         6         8         9         1         1         3         3         6         2         9         9         8         5         9         3         
VardasNr52          PavardeNr52         7         1         6         2         7         1         3         5         8         5         4         10        8         10        3         7         5         5         
VardasNr53          PavardeNr53         6         2         1         3         9         7         4         6         4         4         7         6         8         6         8         2         8         2         
VardasNr54          PavardeNr54         2         5         9         9         6         5         7         9         3         8         4         1         9         5         6         7         7         9         
VardasNr55          PavardeNr55         2         8         1         6         5         7         2         7         8         5         3         5         1         4         7         5         6         10        
VardasNr56          PavardeNr56         2         6         8         3         10        8         10        10        3         7         10        8         10        9         6         6         1         5         
VardasNr57          PavardeNr57         9         2         7         10        9         3         8         8         3         8         4         9         3         6         10        7         7         4         
VardasNr58          PavardeNr58         3         10        5         3         3         1         10        3         4         5         5         5         9         6         5         1         4         5         
VardasNr59          PavardeNr59         9         9         4         7         8         4         6         2         2         8         10        8         2         1         10        10        10        6         
VardasNr60          PavardeNr60         10        4         3         8         9         1         3         8         3         10        1         2         1         7         5         3         3         10        
VardasNr61          PavardeNr61         3         4         7         8         7         8         8         4         3         8         6         9         7         6         7         5         10        9         
VardasNr62          PavardeNr62         1         6         7         5         7         6         4         6         9         7         8         10        6         8         1         4         7         10        
VardasNr63          PavardeNr63         9         1         4         5         6         10        10        1         5         8         9         1         9         4         2         7         1         2         
VardasNr64          PavardeNr64         8         5         10        3         5         7         3         4         3         9         9         8         3         9         3         3         6         9         
VardasNr65          PavardeNr65         9         3         7         3         7         10        10        7         6         9         2         9         3         5         2         4         8         3         
VardasNr66          PavardeNr66         7         5         4         7         6         2         3         5         4         8         10        8         6         7         8         3         4         10        
VardasNr67          PavardeNr67         1         8         1         2         1         9         1         2         4         2         3         1         7         6         1         4         1         5         
VardasNr68          PavardeNr68         4         4         6         9         10        8         1         7         8         4         9         10        2         5         6         7         2         3         
VardasNr69          PavardeNr69         9         10        1         7         4         4         4         1         1         2         7         10        9         3         5         9         1         3         
VardasNr70          PavardeNr70         1         7         8         10        5         7         10        6         8         1         9         2         3         2         8         2         4         1         
VardasNr71          PavardeNr71         4         6         6         10        7         10        10        2         1         7         7         7         6         2         2         2         9         6         
VardasNr72          PavardeNr72         6         5         3         10        9         3         2         1         2         2         10        5         8         3         7         6         2         4         
VardasNr73          PavardeNr73         10        9         1         4         4         8         6         7         2         4         1         3         3         1         5         10        6         7         
VardasNr74          PavardeNr74         4         6         7         7         10        1         8         9         6         10        5         7         5         4         8         3         1         6         
VardasNr75          PavardeNr75         8         7         9         6         7         7         10        7         5         10        6         4         9         5         3         8         7         10        
VardasNr76          PavardeNr76         8         6         9         8         5         8         5         5         8         5         1         5         5         7         9         2         7         4         
VardasNr77          PavardeNr77         10        5         7         8         7         7         6         6         7         5         6         10        5         2         9         9         9         6         
VardasNr78          PavardeNr78         9         4         10        4         6         7         10        7         4         6         3         3         8         3         7         10        5         3         
VardasNr79          PavardeNr79         10        4         3         4         5         3         3         9         10        7         2         5         4         2         6         10        3         6         
VardasNr80          PavardeNr80         2         10        2         1         3         3         6         10        10        6         5         9         3         3         5         5         9         7         
VardasNr81          PavardeNr81         4         1         1         4         3         5         10        5         7         1         1         9         4         9         9         9         2         1         
VardasNr82          PavardeNr82         3         10        4         5         3         9         7         2         7         2         4         4         6         10        4         7         3         6         
VardasNr83          PavardeNr83         2         8         1         3         8         3         2         5         9         7         3         6         5         1         1         8         9         10        
VardasNr84          PavardeNr84         6         5         1         5         3         3         4         4         7         10        1         1         1         8         9         10        5         8         
VardasNr85          PavardeNr85         3         1         5         1         7         2         10        4         1         7         5         9         9         1         10        5         8         8         
VardasNr86          PavardeNr86         7         6         6         8         3         2         2         10        3         1         1         10        8         10        8         5         6         4         
VardasNr87          PavardeNr87         7         1         2         5         8         8         9         8         4         9         5         2         5         1         10        2         10        4         
VardasNr88          PavardeNr88         10        2         8         6         1         8         1         10        5         6         10        9         4         5         3         6         6         3         
VardasNr89          PavardeNr89         7         2         10        10        7         2         1         9         3         8         8         9         2         5         8         9         1         10        
VardasNr90          PavardeNr90         6         10        9         5         10        8         8         3         8         3         2         8         9         4         7         10        6         4         
VardasNr91          PavardeNr91         7         10        8         2         4         1         7         6         9         5         1         10        10        1         2         5         10        8         
VardasNr92          PavardeNr92         5         9         2         7         6         8         5         8         5         8         4         7         3         3         9         7         9         4         
VardasNr93          PavardeNr93         6         10        8         8         5         10        2         2         10        9         1         8         5         9         5         8         6         8         
VardasNr94          PavardeNr94         6         3         10        5         2         6         9         5         8         7         5         1         6         7         4         5         8         6         
VardasNr95          PavardeNr95         2         4         8         5         8         8         4         2         4         6         5         9         10        10        6         5         6         2         
VardasNr96          PavardeNr96         8         3         7         2         9         3         9         2         9         5         3         1         9         1         4         1         9         3         
VardasNr97          PavardeNr97         10        10        4         2         10        8         5         4         5         8         5         9         10        5         4         6         6         10        
VardasNr98          PavardeNr98         4         3         2         10        9         9         3         4         9         9         2         6         5         10        2         3         5         1         
VardasNr99          PavardeNr99         4         8         7         8         9         3         4         9         10        7         6         9         9         7         2         4         9         9         
VardasNr100         PavardeNr100        3         10        5         7         5         5         6         5         8         4         9         2         1         2         2         8         8         5         
VardasNr101         PavardeNr101        2         5         3         9         1         7         6         9         9         4         10        2         6         2         9         3         4         5         
VardasNr102         PavardeNr102        9         9         5         5         4         4         6         6         6         4         3         5         2         2         1         4         10        1         
VardasNr103         PavardeNr103        10        3         3         7         2         1         10        2         10        5         3         1         8         3         3         4         4         9         
VardasNr104         PavardeNr104        6         3         8         7         2         1         2         3         7         4         6         4         9         3         5         10        4         8         
VardasNr105         PavardeNr105        9         3         8         9         4         4         7         2         8         4         5         10        1         3         3         9         5         6         
VardasNr106         PavardeNr106        3         6         1         10        5         6         4         1         7         10        8         4         1         1         10        4         6         7         
VardasNr107         PavardeNr107        4         9         5         6         7         10        6         8         5         6         1         1         4         5         7         4         10        8         
VardasNr108         PavardeNr108        5         1         2         8         8         10        2         3         10        2         4         5         1         9         3         2         9         4         
VardasNr109         PavardeNr109        9         6         9         7         7         9         6         5         5         10        8         8         6         7         2         2         8         7         
VardasNr110         PavardeNr110        10        8         8         9         2         4         8         6         7         5         6         1         9         10        5         7         4         3         
VardasNr111         PavardeNr111        7         1         5         3         10        1         10        5         6         7         8         8         7         5         8         4         3         4         
VardasNr112         PavardeNr112        5         9         10        6         2         8         5         2         3         7         4         5         5         4         6         5         6         5         
VardasNr113         PavardeNr113        3         8         9         10        3         6         3         6         2         4         2         6         2         9         3         6         7         9         
VardasNr114         PavardeNr114        7         10        1         10        1         6         4         5         2         7         1         3         3         9         3         10        2         2         
VardasNr115         PavardeNr115        7         9         1         8         4         3         5         8         9         10        10        1         3         4         4         4         9         1         
VardasNr116         PavardeNr116        5         2         9         1         6         6         8         8         9         8         8         1         4         9         2         2         3         9         
VardasNr117         PavardeNr117        1         2         10        4         4         4         9         9         1         9         2         5         9         2         2         4         10        1         
VardasNr118         PavardeNr118        5         4         8         6         8         6         4         8         5         6         10        4         7         3         9         3         10        9         
VardasNr119         PavardeNr119        8         10        1         7         8         7         7         4         2         5         7         2         2         3         7         6         9         7         
VardasNr120         PavardeNr120        1         4         4         2         7         5         7         8         1         10        5         5         9         2         6         6         10        8         
VardasNr121         PavardeNr121        4         10        9         2         8         1         8         5         8         10        7         5         4         3         6         7         1         3         
VardasNr122         PavardeNr122        9         5         7         4         2         1         6         6         7         10        4         4         2         5         4         2         9         10        
VardasNr123         PavardeNr123        8         2         7         1         6         2         10        10        6         2         1         7         3         5         9         10        2         4         
VardasNr124         PavardeNr124        1         7         9         5         2         3         3         6         3         2         9         7         3         7         9         3         7         5         
VardasNr125         PavardeNr125        10        4         8         2         9         2         7         4         7         8         7         3         4         7         8         8         4         4         
VardasNr126         PavardeNr126        5         8         6         6         2         10        1         7         8         5         3         8         2         9         2         1         7         10        
VardasNr127         PavardeNr127        6         5         4         6         8         4         6         7         7         6         1         10        1         10        3         6         7         3         
VardasNr128         PavardeNr128        5         6         9         4         6         3         7         6         10        10        10        9         2         6         5         10        8         9         
VardasNr129         PavardeNr129        8         4         2         8         8         3         1         2         4         5         9         4         4         9         10        5         2         6         
VardasNr130         PavardeNr130        3         8         5         5         6         1         4         6         7         3         3         1         4         4         8         9         5         1         
VardasNr131         PavardeNr131        4         5         10        8         1         7         1         9         10        7         4         10        8         10        6         5         4         10        
VardasNr132         PavardeNr132        4         8         4         4         6         1         7         5         1         9         7         1         2         10        10        4         6         7         
VardasNr133         PavardeNr133        2         2         10        9         8         9         8         4         6         2         1         9         1         7         6         8         8         1         
VardasNr134         PavardeNr134        9         4         9         5         2         9         9         1         7         10        6         4         1         10        7         4         6         9         
VardasNr135         PavardeNr135        7         2         8         8         1         4         8         5         4         4         5         9         4         6         5         7         10        1         
VardasNr136         PavardeNr136        3         6         8         1         1         7         7         7         6         2         6         8         1         9         4         4         4         3         
VardasNr137         PavardeNr137        3         8         6         4         6         5         7         6         2         6         7         3         7         3         10        4         9         7         
VardasNr138         PavardeNr138        6         10        7         3         6         6         3         4         6         8         1         10        4         10        8         6         1         10        
VardasNr139         PavardeNr139        4         6         3         3         6         1         7         8         6         10        3         4         7         5         10        2         4         8         
VardasNr140         PavardeNr140        7         3         9         10        3         8         4         4         9         7         9         2         3         10        4         7         3         3         
VardasNr141         PavardeNr141        2         10        5         8         6         5         4         7         3         5         6         4         10        8         7         2         1         7         
VardasNr142         PavardeNr142        4         6         2         7         8         1         5         6         3         9         5         6         7         3         1         1         5         2         
VardasNr143         PavardeNr143        2         2         8         5         1         3         4         3         6         10        4         7         6         9         3         7         4         7         
VardasNr144         PavardeNr144        4         1         9         2         4         2         4         8         4         8         6         4         6         4         10        10        5         4         
VardasNr145         PavardeNr145        1         6         3         1         2         2         3         1         6         7         7         6         7         7         2         2         3         5         
VardasNr146         PavardeNr146        6         9         9         5         6         5         6         3         8         5         3         3         1         3         9         10        9         3         
VardasNr147         PavardeNr147        8         10        7         9         3         2         5         8         3         9         8         7         5         9         3         8         10        9         
VardasNr148         PavardeNr148        1         9         7         10        5         4         7         9         8         2         10        5         10        7         3         6         3         10        
VardasNr149         PavardeNr149        8         6         5         5         6         9         10        3         9         1         1         3         2         8         4         2         3         3         
VardasNr150         PavardeNr150        10        6         9         2         7         2         2         3         1         9         4         2         8         7         6         10        9         6         
VardasNr151         PavardeNr151        4         1         10        3         1         4         2         10        2         10        2         1         3         7         6         10        6         2         
VardasNr152         PavardeNr152        6         2         7         3         2         10        9         2         1         9         2         4         1         7         3         5         2         1         
VardasNr153         PavardeNr153        1         5         8         6         7         5         4         4         8         10        7         1         6         1         7         7         8         4         
VardasNr154         PavardeNr154        9         1         9         10        5         5         8         3         10        6         3         7         5         2         7         7         1         9         
VardasNr155         PavardeNr155        4         3         3         5         2         5         9         10        2         7         7         8         5         9         2         9         7         7         
VardasNr156         PavardeNr156        5         5         8         3         1         10        3         3         2         2         9         6         7         8         9         7         8         1         
VardasNr157         PavardeNr157        2         3         5         6         10        4         9         8         9         3         6         9         1         4         6         4         8         8         
VardasNr158         PavardeNr158        8         8         6         2         6         10        9         7         8         10        10        1         10        7         9         6         3         7         
VardasNr159         PavardeNr159        9         3         1         8         9         10        6         3         7         7         4         10        2         6         5         8         7         10        
VardasNr160         PavardeNr160        1         4         10        3         8         8         10        8         2         4         3         10        3         8         6         2         3         2         
VardasNr161         PavardeNr161        1         7         2         7         10        3         3         6         8         3         10        4         8         9         9         10        5         8         
VardasNr162         PavardeNr162        10        9         8         1         7         5         1         9         5         8         10        1         6         3         8         4         4         3         
VardasNr163         PavardeNr163        3         10        10        10        4         3         6         7         8         1         5         6         3         9         3         4         6         4         
VardasNr164         PavardeNr164        9         4         2         5         2         6         5         6         6         7         7         9         3         10        5         8         3         4         
VardasNr165         PavardeNr165        2         2         1         3         3         10        10        7         2         10        7         10        7         1         2         8         4         5         
VardasNr166         PavardeNr166        5         1         7         1         9         8         5         2         5         2         5         5         6         8         10        9         9         3         
VardasNr167         PavardeNr167        2         10        3         1         6         1         10        5         6         8         10        10        4         3         4         2         5         10        
VardasNr168         PavardeNr168        9         3         6         5         6         1         7         7         8         7         1         10        1         1         2         9         4         6         
VardasNr169         PavardeNr169        2         10        7         2         7         5         8         3         6         7         1         6         10        1         7         9         2         2         
VardasNr170         PavardeNr170        1         7         7         9         5         9         8         1         9         9         7         5         9         2         7         2         4         1         
VardasNr171         PavardeNr171        9         5         1         2         1         5         10        9         7         5         8         10        6         3         6         7         6         3         
VardasNr172         PavardeNr172        5         4         4         10        6         8         4         9         6         4         4         5         5         1         10        2         3         8         
VardasNr173         PavardeNr173        10        1         10        6         2         2         2         8         1         1         7         5         1         10        5         5         7         5         
VardasNr174         PavardeNr174        1         5         9         9         5         9         5         8         10        8         5         5         2         10        1         5         9         10        
VardasNr175         PavardeNr175        8         1         5         2         8         10        1         2         2         7         4         4         1         8         3         2         9         4         
VardasNr176         PavardeNr176        8         2         10        3         2         4         7         6         2         1         7         1         5         6         4         2         7         8         
VardasNr177         PavardeNr177        7         9         5         2         2         4         2         2         3         9         10        3         1         3         7         6         9         1         
VardasNr178         PavardeNr178        2         9         10        6         9         6         5         5         3         5         8         6         5         1         10        9         6         4         
VardasNr179         PavardeNr179        4         5         5         4         4         4         8         9         9         6         9         7         3         10        2         4         1         5         
VardasNr180         PavardeNr180        10        9         1         5         8         8         10        2         2         10        9         6         2         9         8         2         7         4         
VardasNr181         PavardeNr181        3         7         1         2         8         7         1         5         5         10        6         9         7         10        4         1         7         10        
VardasNr182         PavardeNr182        4         6         7         6         2         4         6         8         9         4         3         1         2         6         10        9         2         9         
VardasNr183         PavardeNr183        3         9         3         3         2         6         8         10        2         7         3         1         1         8         3         8         8         1         
VardasNr184         PavardeNr184        9         2         9         8         9         8         6         9         1         5         7         2         8         3         8         9         7         9         
VardasNr185         PavardeNr185        5         7         9         9         10        1         1         2         3         10        4         5         5         7         1         1         9         5         
VardasNr186         PavardeNr186        8         8         9         1         5         1         2         10        10        9         4         7         6         4         4         3         5         7         
VardasNr187         PavardeNr187        9         4         9         3         7         3         7         1         3         6         7         8         9         3         3         1         5         3         
VardasNr188         PavardeNr188        6         7         3         3         4         6         9         8         2         7         5         9         6         7         10        5         1         1         
VardasNr189         PavardeNr189        7         10        10        5         1         7         1         9         6         1         8         1         1         2         10        2         10        7         
VardasNr190         PavardeNr190        9         10        10        2         9         7         8         5         10        4         7         6         1         5         5         8         9         2         
VardasNr191         PavardeNr191        4         2         3         5         4         3         7         5         9         10        4         9         9         2         7         6         2         5         
VardasNr192         PavardeNr192        2         5         3         9         1         1         6         3         10        1         9         3         7         5         2         3         2         7         
VardasNr193         PavardeNr193        10        9         4         1         9         7         6         9         4         10        6         6         5         9         3         4         9         3         
VardasNr194         PavardeNr194        2         4         4         8         4         4         2         8         3         1         7         4         4         10        2         5         6         5         
VardasNr195         PavardeNr195        8         3         8         9         9         4         1         7         10        8         8         3         1         3         10        9         6         1         
VardasNr196         PavardeNr196        8         9         7         10        5         1         1         1         4         1         5         7         6         8         5         10        1         6         
VardasNr197         PavardeNr197        1         6         10        9         6         10        8         10        9         1         2         3         4         7         6         7         3         7         
VardasNr198         PavardeNr198        5         8         10        5         2         9         10        5         4         1         9         5         9         5         3         6         9         5         
VardasNr199         PavardeNr199        5         4         3         6         9         3         10        4         6         9         2         6         4         8         5         2         4         10        
VardasNr200         PavardeNr200        4         5         7         7         8         2         6         10        3         4         8         8         6         4         5         8         4         4         
VardasNr201         PavardeNr201        1         9         2         1         5         9         3         2         7         3         8         4         8         1         5         4         7         8         
VardasNr202         PavardeNr202        4         1         10        6         9         8         10        4         8         7         4         3         9         1         6         10        3         9         
VardasNr203         PavardeNr203        10        8         3         1         4         6         6         1         3         6         1         1         10        4         9         5         3         8         
